Repo, Last Tag Version,Snapshot Version,Changed Files,Docker Images
policy/parent,5.1.1,5.1.2-SNAPSHOT,0,
policy/docker,4.1.1,4.1.2-SNAPSHOT,1,'policy-jre-alpine':'policy-jdk-alpine':'policy-db-migrator'
policy/common,3.1.1,3.1.2-SNAPSHOT,0,
policy/models,4.1.1,4.1.2-SNAPSHOT,2,'policy-models-simulator'
policy/api,4.1.1,4.1.2-SNAPSHOT,1,'policy-api'
policy/pap,4.1.1,4.1.2-SNAPSHOT,1,'policy-pap'
policy/apex-pdp,4.1.1,4.1.2-SNAPSHOT,1,'policy-apex-pdp'
policy/drools-pdp,3.1.1,3.1.2-SNAPSHOT,1,'policy-drools'
policy/xacml-pdp,4.1.1,4.1.2-SNAPSHOT,1,'policy-xacml-pdp'
policy/distribution,4.1.1,4.1.2-SNAPSHOT,1,'policy-distribution'
policy/clamp,8.1.1,8.1.2-SNAPSHOT,8,'policy-clamp-ac-pf-ppnt':'policy-clamp-ac-k8s-ppnt':'policy-clamp-ac-http-ppnt':'policy-clamp-ac-a1pms-ppnt':'policy-clamp-runtime-acm':'policy-clamp-acm-element-impl':'policy-clamp-ac-kserve-ppnt':'policy-clamp-ac-sim-ppnt'
policy/drools-applications,3.1.1,3.1.2-SNAPSHOT,0,'policy-pdpd-cl'
policy/opa-pdp,1.0.2,1.0.3-SNAPSHOT,1,'policy-opa-pdp'
